03-17-17-12-02-39	SessionID	341	225.563	244.1094	673.3438
03-17-17-12-02-39	SessionUser	Playtest1-3	225.563	244.1094	673.3438
03-17-17-12-02-39	SessionVersion	Alpha	225.563	244.1094	673.3438
03-17-17-12-02-39	Calibration	1600x900	225.563	244.1094	673.3438
03-17-17-12-02-39	MouseMoveD	743.8622	225.6961	222.168	709.9102
03-17-17-12-02-39	MouseMoveV	0	225.6961	222.168	709.9102
03-17-17-12-02-39	MouseMoveS	0	226.1291	223.5195	752.2656
03-17-17-12-02-39	MouseMoveV	-0.2511082	226.5793	214.2031	752.2656
03-17-17-12-02-40	MouseMoveS	0	226.7966	210.8125	755.0078
03-17-17-12-02-40	MouseDown	0	227.0294	210.8125	755.0078
03-17-17-12-02-40	TriggerLoadLevel	level01	227.1869	210.8125	755.0078
03-17-17-12-02-40	MouseUp	0	227.1869	210.8125	755.0078
03-17-17-12-02-41	MouseMoveV	-0.9766747	227.9958	212.8125	754.0078
03-17-17-12-02-41	MouseMoveD	292.7208	228.2133	491.7656	522.7656
03-17-17-12-02-41	MouseMoveD	220.0123	228.3293	711.168	506.3945
03-17-17-12-02-41	MouseMoveV	-0.9977928	228.5457	725.8398	505.3516
03-17-17-12-02-42	MouseMoveS	0	228.8631	723.8398	505.3516
03-17-17-12-02-43	MouseMoveV	-0.6037273	230.2963	726.9727	501.2148
03-17-17-12-02-44	MouseMoveS	0	231.2158	1024.16	439.4844
03-17-17-12-02-45	MouseMoveV	-0.1321799	231.7461	1022.113	439.4844
03-17-17-12-02-45	MouseMoveD	187.7074	232.079	719.2227	451.3281
03-17-17-12-02-45	MouseMoveV	-0.9677408	232.2796	690.2266	446.4961
03-17-17-12-02-45	MouseMoveD	153.7099	232.3966	843.8086	440.2266
03-17-17-12-02-45	MouseMoveD	206.1409	232.529	1049.629	451.7188
03-17-17-12-02-45	MouseMoveD	314.1744	232.6296	1363.754	457.293
03-17-17-12-02-46	MouseMoveD	156.5223	232.7458	1519.773	469.8281
03-17-17-12-02-46	MouseMoveS	0	232.8622	1519.773	469.8281
03-17-17-12-02-46	MouseMoveV	-0.9963902	232.9627	1482.16	463.5586
03-17-17-12-02-47	MouseMoveS	0	233.7459	1319.66	437.0938
03-17-17-12-02-47	MouseMoveV	0.2793295	233.979	1317.66	443.9688
03-17-17-12-02-47	MouseMoveV	0	234.1959	1318.66	450.1914
03-17-17-12-02-47	MouseMoveS	0	234.3128	1318.66	450.1914
03-17-17-12-02-47	MouseMoveV	-0.3180516	234.4296	1316.617	456.2813
03-17-17-12-02-48	MouseMoveS	0	234.9964	1295.246	458.7656
03-17-17-12-02-48	MouseMoveS	0	235.2125	1290.809	455.3281
03-17-17-12-02-49	MouseMoveV	-0.6123977	235.6624	1290.809	458.4609
03-17-17-12-02-49	MouseMoveS	0	235.7631	1290.809	458.4609
03-17-17-12-02-49	MouseDown	0	235.8125	1290.809	458.4609
03-17-17-12-02-49	nextTutorial	1	235.929	1290.809	458.4609
03-17-17-12-02-49	MouseUp	0	235.929	1290.809	458.4609
03-17-17-12-02-49	MouseMoveV	-0.1437577	236.0862	1283.629	457.418
03-17-17-12-02-49	MouseMoveS	0	236.396	1266.699	455.3281
03-17-17-12-02-49	MouseMoveV	-0.9880412	236.6131	1281.238	456.3711
03-17-17-12-02-50	MouseMoveS	0	236.9789	1298.301	459.5039
03-17-17-12-02-50	MouseMoveV	-0.7071068	237.1955	1297.301	458.5039
03-17-17-12-02-50	MouseMoveS	0	237.2958	1297.301	458.5039
03-17-17-12-02-50	MouseMoveV	-0.7071068	237.5295	1313.973	458.5039
03-17-17-12-02-51	MouseMoveS	0	237.746	1316.063	458.5039
03-17-17-12-02-52	MouseMoveS	0	239.3456	1316.758	455.7656
03-17-17-12-02-55	MouseMoveS	0	242.1121	1314.672	447.4492
03-17-17-12-02-55	MouseMoveS	0	242.4292	1312.625	445.7539
03-17-17-12-02-56	MouseMoveS	0	242.6621	1311.625	444.7539
03-17-17-12-02-57	MouseMoveS	0	243.8954	1306.145	444.7539
03-17-17-12-02-57	MouseDown	0	244.0122	1306.145	444.7539
03-17-17-12-02-57	nextTutorial	2	244.1292	1306.145	444.7539
03-17-17-12-02-57	MouseUp	0	244.1292	1306.145	444.7539
03-17-17-12-02-58	MouseMoveV	-0.9888844	244.8789	1267.484	446.8438
03-17-17-12-02-58	MouseMoveS	0	245.1199	1295.563	446.8438
03-17-17-12-02-58	MouseMoveV	-1	245.5459	1294.563	446.8438
03-17-17-12-02-59	MouseMoveS	0	245.6629	1294.563	446.8438
03-17-17-12-03-00	MouseMoveD	174.8273	247.4124	926.8008	444.0586
03-17-17-12-03-01	MouseMoveV	-0.8032979	247.7791	860.5898	450.9766
03-17-17-12-03-01	MouseMoveD	135.1776	247.8954	995.3633	440.5313
03-17-17-12-03-01	MouseMoveD	149.7202	247.9963	1144.766	430.7813
03-17-17-12-03-02	MouseMoveS	0	248.7621	1263.344	436.6563
03-17-17-12-03-02	MouseMoveS	0	249.0789	1293.246	435.6094
03-17-17-12-03-02	MouseMoveV	-0.9995192	249.3119	1286.246	436.6094
03-17-17-12-03-02	MouseMoveS	0	249.4124	1286.246	436.6094
03-17-17-12-03-03	MouseMoveV	-0.9899495	249.7458	1286.945	436.6094
03-17-17-12-03-03	MouseMoveS	0	249.9621	1289.641	437.6563
03-17-17-12-03-03	MouseMoveS	0	250.3959	1290.641	437.6563
03-17-17-12-03-08	MouseMoveS	0	255.2117	1298.953	437.6563
03-17-17-12-03-08	MouseMoveV	0	255.5285	1298.953	440.3945
03-17-17-12-03-08	MouseMoveS	0	255.6288	1298.953	440.3945
03-17-17-12-03-09	MouseDown	0	255.8958	1298.953	440.3945
03-17-17-12-03-09	nextTutorial	3	256.0118	1298.953	440.3945
03-17-17-12-03-09	MouseUp	0	256.0118	1298.953	440.3945
03-17-17-12-03-09	MouseMoveV	0	256.3285	1288.898	440.3945
03-17-17-12-03-09	MouseMoveS	0	256.5461	1288.203	440.3945
03-17-17-12-03-10	MouseMoveV	-1	256.7622	1289.203	440.3945
03-17-17-12-03-10	MouseMoveS	0	257.179	1292.945	441.3945
03-17-17-12-03-10	MouseMoveS	0	257.6123	1296.945	442.3945
